Region,Division,State,Abbrev,Year,Female,Male,Under_15,15_64,65_Over,Am_Indian,Asian,Black,White,Population,Owner,Renter,Households
1,1,Vermont,VT,1920,173574,178854,100541,221817,29694,24,15,572,351817,352428,48370,35706,85804
3,5,Virginia,VA,1920,1140695,1168492,826312,1379829,100008,824,437,690017,1617909,2309187,242062,231563,483363
4,9,Washington,WA,1920,621920,734701,372245,919378,60211,9061,20900,6883,1319777,1356621,183322,151513,342228
3,5,West_Virginia,WV,1920,700601,763100,544453,860322,56140,7,114,86345,1377235,1463701,141362,160528,310098
2,3,Wisconsin,WI,1920,1275349,1356718,822207,1666599,140406,9611,317,5201,2616938,2632067,371822,212464,595316
4,8,Wyoming,WY,1920,84043,110359,60867,127671,4989,1343,1538,1375,190146,194402,24060,22271,48476
3,6,Alabama,AL,1930,1331239,1315009,949035,1596704,99240,465,105,944834,1700844,2646248,198472,381466,591625
4,8,Arizona,AZ,1930,204269,231304,143405,275875,15768,43726,2547,10749,378551,435573,45808,56380,105992
3,7,Arkansas,AR,1930,914639,939843,645550,1132554,75600,408,296,478463,1375315,1854482,168767,251897,438639
4,9,California,CA,1930,2734656,2942595,1294887,4002500,366125,19212,168731,81048,5408260,5677251,726072,848888,1610030
4,8,Colorado,CO,1930,505039,530752,299390,673913,61787,1395,3775,11828,1018793,1035791,131571,127979,267324
1,1,Connecticut,CT,1930,805600,801303,445475,1067172,93319,162,687,29354,1576700,1606903,171202,213445,388645
3,5,Delaware,DE,1930,117123,121257,64218,157346,16678,5,55,32602,205718,238380,30187,27804,59092
3,5,District_of_Columbia,DC,1930,254986,231883,100640,357194,27253,40,780,132068,353981,486869,47220,75254,125554
3,5,Florida,FL,1930,730536,737675,436840,958932,71202,587,406,431828,1035390,1468211,153956,212740,376499
3,5,Georgia,GA,1930,1473979,1434527,1009174,1784210,113278,43,317,1071125,1837021,2908506,194459,440011,652793
4,8,Idaho,ID,1930,207685,237347,145724,276784,22310,3638,1886,668,438840,445032,59584,44996,108044
2,3,Illinois,IL,1930,3757197,3873457,1980797,5221401,421073,469,5946,328972,7295267,7630654,882999,1017115,1929396
2,3,Indiana,IN,1930,1598442,1640061,897005,2106442,232787,285,458,111982,3125778,3238503,474196,353807,843066
2,4,Iowa,IA,1930,1215838,1255101,699060,1586398,184239,660,222,17380,2452677,2470939,340778,282607,635704
2,4,Kansas,KS,1930,919708,961291,542471,1208341,129468,2454,204,66344,1811997,1880999,267115,210106,487188
3,6,Kentucky,KY,1930,1291796,1322793,889335,1581744,142122,22,75,226040,2388452,2614589,306284,290379,609405
3,7,Louisiana,LA,1930,1053770,1047823,706356,1318582,75850,1536,1019,776326,1322712,2101593,165731,307273,485363
1,1,Maine,ME,1930,396138,401285,228825,498997,69010,1012,130,1096,795185,797423,119898,74358,197826
3,5,Maryland,MD,1930,810517,821009,459898,1074850,92972,50,871,276379,1354226,1631526,208563,169359,385179
1,1,Massachusetts,MA,1930,2177942,2071672,1127300,2845071,274195,874,3383,52365,4192992,4249614,439238,569645,1021160
2,3,Michigan,MI,1930,2323016,2519309,1405880,3178679,254891,7080,2285,169453,4663507,4842325,685516,476682,1180554
2,4,Minnesota,MN,1930,1247382,1316571,741540,1657965,163480,11077,832,9445,2542599,2563953,349908,243696,606496
3,6,Mississippi,MS,1930,1004680,1005141,712037,1219532,77443,1458,568,1009718,998077,2009821,149973,311586,471704
