Region,Division,State,Abbrev,Year,Female,Male,Under_15,15_64,65_Over,Am_Indian,Asian,Black,White,Population,Owner,Renter,Households
1,2,Pennsylvania,PA,1990,6187378,5694265,2340520,7712017,1829106,14733,137438,1089795,10520201,11881643,3176121,1319845,4495966
1,1,Rhode_Island,RI,1990,521968,481496,190106,662811,150547,4071,18325,38861,917375,1003464,224792,153185,377977
3,5,South_Carolina,SC,1990,1798193,1688510,766132,2323636,396935,8246,22382,1039884,2406974,3486703,878704,379340,1258044
2,4,South_Dakota,SD,1990,353506,342498,168736,424937,102331,50575,3123,3258,637515,696004,171161,87873,259034
3,6,Tennessee,TN,1990,2528257,2348928,1009881,3248486,618818,10039,31839,778035,4048068,4877185,1261118,592607,1853725
3,7,Texas,TX,1990,8620547,8365963,4080580,11189354,1716576,65877,319459,2021632,12774762,16986510,3695115,2375822,6070937
4,8,Utah,UT,1990,867091,855759,537153,1035739,149958,24283,33371,11576,1615845,1722850,365979,171294,537273
1,1,Vermont,VT,1990,287266,275492,121040,375555,66163,1696,3215,1951,555088,562758,145368,65282,210650
3,5,Virginia,VA,1990,3153384,3033974,1266047,4256841,664470,15282,159053,1162994,4791739,6187358,1519521,772309,2291830
4,9,Washington,WA,1990,2452945,2413747,1075535,3215869,575288,81483,210958,149801,4308937,4866692,1171580,700851,1872431
3,5,West_Virginia,WV,1990,931941,861536,361346,1163234,268897,2458,7459,56295,1725523,1793477,510058,178499,688557
2,3,Wisconsin,WI,1990,2498834,2392935,1090620,3149928,651221,39387,53583,244539,4512523,4891769,1215350,606768,1822118
4,8,Wyoming,WY,1990,226581,227007,114314,292079,47195,9479,2806,3606,427061,453588,114544,54295,168839
